0,0.01
1,0.0903
2,0.0693
3,0.0668
4.000000000000000000e+00,1.150000000000000050e-01
5.000000000000000000e+00,6.550000000000000266e-01
6.000000000000000000e+00,1.459999999999999909e-01
7.000000000000000000e+00,1.519999999999999962e-01
8.000000000000000000e+00,1.347666283629999906e-01
9.000000000000000000e+00,1.338758790500000073e-01
1.000000000000000000e+01,1.422699540360000126e-01
1.100000000000000000e+01,1.408418402709999961e-01
1.200000000000000000e+01,1.000000000000000021e-02
1.300000000000000000e+01,1.519999999999999962e-01
1.400000000000000000e+01,1.000000000000000021e-02
